,total_ec,total_elec_ec,total_ff_ec,total_heating_ec,total_cooling_ec
65,0.021627152941563803,0.016643007910546844,0.00498414503101696,0.021627152941563803,0.0
66,0.021293220670643362,0.016386032919824187,0.004907187750819173,0.021293220670643362,0.0
67,0.021093951567000516,0.016232686925683564,0.004861264641316953,0.021093951567000516,0.0
68,0.020996637863352614,0.016157799919335906,0.004838837944016708,0.020996637863352614,0.0
69,0.02104208330898297,0.016192772109765594,0.004849311199217378,0.02104208330898297,0.0
70,0.021579656513826616,0.016606457402734344,0.004973199111092271,0.021579656513826616,0.0
71,0.022809004394019755,0.017552492535058563,0.005256511858961193,0.022809004394019755,0.0
72,0.024715014449827835,0.019019247799707,0.005695766650120833,0.024715014449827835,0.0
73,0.026822830350305624,0.020641301187890593,0.006181529162415033,0.026822830350305624,0.0
74,0.028479376214066782,0.02191608321718747,0.0065632929968793136,0.028479376214066782,0.0
